Unnamed: 0,Type of dwelling,General Zoning,Linear feet of street,Lot size in square feet,Type of Acess Road to Property,General shape of property,Flatness of the property,Utilities,Lot configuration,Slope of property,Neighborhood,Proximity to various conditions,Condition2,BldgType,Style of dwelling,Rates the overall material,Rates the overall condition of the house,Original construction date,YearRemodAdd,Type of roof,Roof material,Exterior covering on the house,Exterior2nd,Masonry veneer area in square feet, Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of Heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,econd-floor square feet,	Low-quality finished square feet,Above ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half Bathroom,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,PavedDrive,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,$Value of miscellaneous feature,Month Sold (MM),Year Sold (YYYY),SaleType,SaleCondition,SalePrice
0,2-STORY 1946 & NEWER,Residential Low-Density,65,8450,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,1Fam,Two-story,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,196,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,706,Unfinished,0,150,856,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,856,854,0,1710,1,0,2,1,3,1,Good,8,Typical Functionality,0,No,Attached to the home,2003.0,Rough Finished,2,548,Typical/Average,Typical/Average,Paved,0,61,0,0,0,0,No,No,No,0,Feb,2008,Warranty Deed - Conventional,Normal Sale,208500
1,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,9600,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,Veenker,Feedr,Norm,1Fam,One story,Above Average,Very Good,1976,1976,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Average Living Quarters,978,Unfinished,0,284,1262,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1262,0,0,1262,0,1,2,0,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976.0,Rough Finished,2,460,Typical/Average,Typical/Average,Paved,298,0,0,0,0,0,No,No,No,0,May,2007,Warranty Deed - Conventional,Normal Sale,181500
2,2-STORY 1946 & NEWER,Residential Low-Density,68,11250,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,1Fam,Two-story,Good,Average,2001,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,162,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Minimum Exposure,Good Living Quarters,486,Unfinished,0,434,920,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,920,866,0,1786,1,0,2,1,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2001.0,Rough Finished,2,608,Typical/Average,Typical/Average,Paved,0,42,0,0,0,0,No,No,No,0,Sep,2008,Warranty Deed - Conventional,Normal Sale,223500
3,2-STORY 1945 & OLDER,Residential Low-Density,60,9550,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Crawford,Norm,Norm,1Fam,Two-story,Good,Average,1915,1970,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Shng,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Good,No Exposure,Average Living Quarters,216,Unfinished,0,540,756,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,961,756,0,1717,1,0,1,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1998.0,Unfinished,3,642,Typical/Average,Typical/Average,Paved,0,35,272,0,0,0,No,No,No,0,Feb,2006,Warranty Deed - Conventional,"Abnormal Sale - trade, foreclosure, short sale",140000
4,2-STORY 1946 & NEWER,Residential Low-Density,84,14260,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,Northridge,Norm,Norm,1Fam,Two-story,Very Good,Average,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,350,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,655,Unfinished,0,490,1145,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1145,1053,0,2198,1,0,2,1,4,1,Good,9,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2000.0,Rough Finished,3,836,Typical/Average,Typical/Average,Paved,192,84,0,0,0,0,No,No,No,0,Dec,2008,Warranty Deed - Conventional,Normal Sale,250000
5,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,85,14115,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Mitchel,Norm,Norm,1Fam,One and one-half story &2nd level finished,Average,Average,1993,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,Wood,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,732,Unfinished,0,64,796,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,796,566,0,1362,1,0,1,1,1,1,Typical/Average,5,Typical Functionality,0,No,Attached to the home,1993.0,Unfinished,2,480,Typical/Average,Typical/Average,Paved,40,30,0,320,0,0,No,Minimum Privacy,Shed (over 100 SF),700,Oct,2009,Warranty Deed - Conventional,Normal Sale,143000
6,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,10084,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,1Fam,One story,Very Good,Average,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,186,Gd,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,1369,Unfinished,0,317,1686,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1694,0,0,1694,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2004.0,Rough Finished,2,636,Typical/Average,Typical/Average,Paved,255,57,0,0,0,0,No,No,No,0,Aug,2007,Warranty Deed - Conventional,Normal Sale,307000
7,2-STORY 1946 & NEWER,Residential Low-Density,0,10382,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NWAmes,PosN,Norm,1Fam,Two-story,Good,Above Average,1973,1973,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,240,TA,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,Minimum Exposure,Average Living Quarters,859,Below Average Living Quarters,32,216,1107,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1107,983,0,2090,1,0,2,1,3,1,Typical/Average,7,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1973.0,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,235,204,228,0,0,0,No,No,Shed (over 100 SF),350,Nov,2009,Warranty Deed - Conventional,Normal Sale,200000
8,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,51,6120,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,OldTown,Artery,Norm,1Fam,One and one-half story &2nd level finished,Good,Average,1931,1950,Gable,Standard (Composite) Shingle,Brick Face,Wd Shng,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,952,952,Gas forced warm air furnace,Good,Y,60 AMP Fuse Box and mostly Romex wiring (Fair),1022,752,0,1774,0,0,2,0,2,2,Typical/Average,8,Minor Deductions 1,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1931.0,Unfinished,2,468,Fair,Typical/Average,Paved,90,0,205,0,0,0,No,No,No,0,Apr,2008,Warranty Deed - Conventional,"Abnormal Sale - trade, foreclosure, short sale",129900
9,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low-Density,50,7420,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Brookside,Artery,Artery,2fmCon,One and one-half story&2nd level unfinished,Average,Above Average,1939,1950,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,851,Unfinished,0,140,991,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1077,0,0,1077,1,0,1,0,2,2,Typical/Average,5,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1939.0,Rough Finished,1,205,Good,Typical/Average,Paved,0,4,0,0,0,0,No,No,No,0,Jan,2008,Warranty Deed - Conventional,Normal Sale,118000
